url,address,price,sale_method,bedrooms,bathrooms,land_area,property_type,agent,listing_date,short_description,full_description,renovation_score,flags
https://www.realestate.co.nz/42986655/residential/sale/1005-oliphant-road-raureka,"1005 Oliphant Road, Raureka",Deadline Sale,,3,1,761m2,,,"Listed
    now","1005 Oliphant Road, RaurekaTimeless Charm and Modern ComfortDeadline Sale","House for sale at 1005 Oliphant Road, Raureka, Hastings, Hawkes Bay 4120, with 3 beds, 1 bath, 761m² land area. Deadline Sale. View all 23 property photos and Raureka suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42982058/residential/sale/65-margaret-avenue-havelock-north,"65 Margaret Avenue, Havelock North",Negotiation,,,,1199m2,,,"Listed
    6 days ago","65 Margaret Avenue, Havelock NorthDesign and Build in a Quality NeighbourhoodNegotiation","Section for sale at 65 Margaret Avenue, Havelock North, Hastings, Hawkes Bay 4130, with 1199m² land area. Negotiation. View all 6 property photos and Havelock North suburb information.",2,Negotiation: negotiation
https://www.realestate.co.nz/42981597/residential/sale/607-market-street-south-hastings,"607 Market Street South, Hastings",Tender,,3,2,685m2,,,"Listed
    6 days ago","607 Market Street South, HastingsQuality living without compromiseTender","House for sale at 607 Market Street South, Hastings, Hastings, Hawkes Bay 4122, with 3 beds, 1 bath, 685m² land area. Tender. View all 18 property photos and Hastings suburb information.",2,Negotiation: tender
https://www.realestate.co.nz/42981270/residential/sale/102-newcastle-street-mahia,"102 Newcastle Street, Mahia",Negotiation,,5,2,1213m2,,,"Listed
    6 days ago","102 Newcastle Street, MahiaThe Ultimate Beach BachNegotiation","House for sale at 102 Newcastle Street, Mahia, Wairoa, Hawkes Bay with 5 beds, 2 baths, 1213m² land area. Negotiation. View all 27 property photos and Mahia suburb information.",2,Negotiation: negotiation
https://www.realestate.co.nz/42981062/residential/sale/153a-middle-road-havelock-north,"153A Middle Road, Havelock North",Auction,,4,2,767m2,,,"Listed
    6 days ago","153A Middle Road, Havelock NorthExecutive living, private oasis with a poolAuction","House for sale at 153A Middle Road, Havelock North, Hastings, Hawkes Bay 4130, with 4 beds, 2 baths, 767m² land area. Auction. View all 22 property photos and Havelock North suburb information.",2,Negotiation: auction
https://www.realestate.co.nz/42982096/residential/sale/8-hikanui-drive-havelock-north,"8 Hikanui Drive, Havelock North",Deadline Sale,,4,2,877m2,,,"Listed
    6 days ago","8 Hikanui Drive, Havelock NorthElevated Living with Reserve and Mountain ViewsDeadline Sale","House for sale at 8 Hikanui Drive, Havelock North, Hastings, Hawkes Bay 4130, with 4 beds, 1 bath, 877m² land area. Deadline Sale. View all 18 property photos and Havelock North suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42980684/residential/sale/17-addington-place-taradale,"17 Addington Place, Taradale",Deadline Sale,,3,2,500m2,,,"Listed
    a week ago","17 Addington Place, TaradaleComfort, Convenience And Lifestyle All in OneDeadline Sale","House for sale at 17 Addington Place, Taradale, Napier City, Hawkes Bay 4112, with 3 beds, 2 baths, 500m² land area. Deadline Sale. View all 12 property photos and Taradale suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42980195/residential/sale/14-francis-drake-street-waipukurau,"14 Francis Drake Street, Waipukurau","$570,000",Offers Over,3,1,1011m2,,,"Listed
    a week ago","14 Francis Drake Street, WaipukurauTimeless bungalow for modern livingOffers Over $570,000","House for sale at 14 Francis Drake Street, Waipukurau, Central Hawkes Bay, Hawkes Bay 4200, with 3 beds, 1 bath, 1011m² land area. Offers Over $570,000. View all 29 property photos and Waipukurau and Surrounds suburb information.",2,Negotiation: offers over
https://www.realestate.co.nz/42981987/residential/sale/148-battery-road-ahuriri,"148 Battery Road, Ahuriri",Auction,,2,1,582m2,,,"Listed
    6 days ago","148 Battery Road, AhuririA Timeless Ahuriri Gem Ready for New OwnersAuction","House for sale at 148 Battery Road, Ahuriri, Napier City, Hawkes Bay 4110, with 2 beds, 1 bath, 582m² land area. Auction. View all 28 property photos and Ahuriri suburb information.",2,Negotiation: auction
https://www.realestate.co.nz/42980092/residential/sale/20-faraday-street-hospital-hill,"20 Faraday Street, Hospital Hill",Deadline Sale,,4,1,364m2,,,"Listed
    a week ago","20 Faraday Street, Hospital HillEasy Living On Hospital HillDeadline Sale","House for sale at 20 Faraday Street, Hospital Hill, Napier City, Hawkes Bay 4110, with 4 beds, 1 bath, 364m² land area. Deadline Sale. View all 10 property photos and Napier Hill suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42978656/residential/sale/7d-whakatomo-place-havelock-north,"7D Whakatomo Place, Havelock North",Deadline Sale,,4,2,1045m2,,,"Listed
    a week ago","7D Whakatomo Place, Havelock NorthLight, Bright, Modern SophisticationDeadline Sale","House for sale at 7D Whakatomo Place, Havelock North, Hastings, Hawkes Bay 4130, with 4 beds, 2 baths, 1045m² land area. Deadline Sale. View all 24 property photos and Havelock North suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42980077/residential/sale/9-russell-robertson-drive-havelock-north,"9 Russell Robertson Drive, Havelock North",Deadline Sale,,3,3,722m2,,,"Listed
    a week ago","9 Russell Robertson Drive, Havelock NorthWarm and WelcomingDeadline Sale","House for sale at 9 Russell Robertson Drive, Havelock North, Hastings, Hawkes Bay with 3 beds, 2 baths, 722m² land area. Deadline Sale. View all 21 property photos and Havelock North suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42980491/residential/sale/1200-caroline-road-mayfair,"1200 Caroline Road, Mayfair",Deadline Sale,,3,1,642m2,,,"Listed
    a week ago","1200 Caroline Road, MayfairCharming Villa, Corner PositionDeadline Sale","House for sale at 1200 Caroline Road, Mayfair, Hastings, Hawkes Bay 4122, with 3 beds, 1 bath, 642m² land area. Deadline Sale. View all 18 property photos and Mayfair suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42983919/residential/sale/36-hikawera-drive-frimley,"36 Hikawera Drive, Frimley",Deadline Sale,,4,2,708m2,,,"Listed
    2 days ago","36 Hikawera Drive, FrimleyThoughtfully Owner BuiltDeadline Sale","House for sale at 36 Hikawera Drive, Frimley, Hastings, Hawkes Bay 4120, with 4 beds, 1 bath, 708m² land area. Deadline Sale. View all 13 property photos and Frimley suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42979809/residential/sale/35-pukeko-place-westshore,"35 Pukeko Place, Westshore",Deadline Sale,,2,1,256m2,,,"Listed
    a week ago","35 Pukeko Place, WestshoreBy The Beach - Builders Report Available!Deadline Sale","House for sale at 35 Pukeko Place, Westshore, Napier City, Hawkes Bay 4110, with 2 beds, 1 bath, 256m² land area. Deadline Sale. View all 16 property photos and Westshore suburb information.",2,Negotiation: deadline sale
https://www.realestate.co.nz/42977115/residential/sale/12-jellicoe-avenue-wairoa,"12 Jellicoe Avenue, Wairoa",Auction,,3,1,812m2,,,"Listed
    a week ago","12 Jellicoe Avenue, WairoaMortgagee SaleAuction","House for sale at 12 Jellicoe Avenue, Wairoa, Wairoa, Hawkes Bay 4108, with 3 beds, 1 bath, 812m² land area. Auction. View all 16 property photos and Wairoa suburb information.",2,Negotiation: auction
